Honolulu (Airport), Hawaii December Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
198910,10.38,8.87
198911,0.51,-1.74
198912,1.32,-0.84
199001,4.32,2.50
199002,4.15,2.21
199003,0.87,-1.49
199004,0.30,-0.47
199005,0.30,-0.52
199006,0.08,-0.42
199007,0.49,-0.02
199008,0.01,-0.83
199009,0.99,0.16
199010,0.47,-1.04
199011,2.96,0.71
199012,4.93,2.77
199101,0.80,-1.02
199102,2.09,0.15
199103,6.24,3.88
199104,1.00,0.23
199105,0.48,-0.34
199106,0.27,-0.23
199107,0.17,-0.34
199108,0.17,-0.67
199109,0.56,-0.27
199110,3.43,1.92
199111,1.52,-0.73
199112,1.25,-0.91
199201,0.43,-1.39
199202,1.35,-0.59
199203,0.72,-1.64
199204,0.11,-0.66
199205,1.13,0.31
199206,0.11,-0.39
199207,2.01,1.50
199208,0.97,0.13
199209,2.08,1.25
199210,2.58,1.07
199211,1.04,-1.21
199212,6.50,4.34
199301,0.71,-1.11
199302,0.41,-1.53
199303,0.02,-2.34
199304,0.23,-0.54
199305,0.20,-0.62
199306,0.12,-0.38
199307,0.70,0.19
199308,1.04,0.20
199309,0.10,-0.73
199310,1.63,0.12
199311,0.47,-1.78
199312,0.27,-1.89
199401,0.78,-1.04
199402,7.05,5.11
199403,3.77,1.41
199404,0.46,-0.31
199405,0.09,-0.73
199406,0.24,-0.26
199407,0.48,-0.03
199408,0.14,-0.70
199409,0.39,-0.44
199410,1.56,0.05
199411,0.20,-2.05
199412,0.46,-1.70
199501,0.54,-1.28
199502,6.53,4.59
199503,1.34,-1.02
199504,1.16,0.39
199505,0.45,-0.37
199506,0.05,-0.45
199507,0.19,-0.32
199508,0.44,-0.40
199509,0.33,-0.50
199510,0.37,-1.14
199511,0.93,-1.32
199512,1.32,-0.84
199601,3.52,1.70
199602,1.00,-0.94
199603,2.68,0.32
199604,0.34,-0.43
199605,0.13,-0.69
199606,1.02,0.52
199607,0.75,0.24
199608,2.17,1.33
199609,0.78,-0.05
199610,0.07,-1.44
199611,18.79,16.54
199612,1.89,-0.27
199701,6.92,5.10
199702,0.95,-0.99
199703,4.90,2.54
199704,1.02,0.25
199705,0.63,-0.19
199706,0.40,-0.10
199707,0.52,0.01
199708,0.13,-0.71
199709,0.68,-0.15
199710,2.58,1.07
199711,0.85,-1.40
199712,0.44,-1.72
199801,0.77,-1.05
199802,0.21,-1.73
199803,0.04,-2.32
199804,0.55,-0.22
199805,0.17,-0.65
199806,0.29,-0.21
199807,0.20,-0.31
199808,0.15,-0.69
199809,0.05,-0.78
199810,0.13,-1.38
199811,0.85,-1.40
199812,1.15,-1.01
199901,2.12,0.30
199902,0.74,-1.20
199903,0.46,-1.90
199904,0.68,-0.09
199905,2.13,1.31
199906,0.12,-0.38
199907,0.58,0.07
199908,0.12,-0.72
199909,0.20,-0.63
199910,2.01,0.50
199911,0.21,-2.04
199912,2.65,0.49
200001,1.26,-0.56
200002,0.07,-1.87
200003,0.38,-1.98
200004,0.46,-0.31
200005,0.03,-0.79
200006,0.04,-0.46
200007,0.41,-0.10
200008,1.17,0.33
200009,0.78,-0.05
200010,0.26,-1.25
200011,2.10,-0.15
200012,0.17,-1.99
200101,0.19,-1.63
200102,0.57,-1.37
200103,0.63,-1.73
200104,0.29,-0.48
200105,0.15,-0.67
200106,1.17,0.67
